date,clusters
2023-11-09,"ADM,DTE,ED,FI,KO,MGM,TROW,WM,XOM;CDNS,XRAY;CERN;ETN;FAST;FICO;FISV;HON;MSFT;ORCL;SIVB"
2023-11-10,"ADM,DTE,FAST,FI,FICO,HON,MGM,TROW,WM,XOM;CDNS,XRAY;CERN;ED;ETN;FISV;KO;MSFT;ORCL;SIVB"
2023-11-13,"ADM,DTE,FAST,FI,FICO,HON,MGM,TROW,WM,XOM;CDNS,XRAY;CERN;ED;ETN;FISV;KO;MSFT;ORCL;SIVB"
2023-11-14,"ADM,DTE,ED,ETN,FAST,FI,FICO,HON,MGM,TROW,WM,XOM;CDNS,XRAY;CERN;FISV;KO;MSFT;ORCL;SIVB"
2023-11-15,"ADM,CDNS,DTE,ED,ETN,FAST,FICO,HON,MGM,ORCL,TROW,WM,XOM;CERN;FI;FISV;KO;MSFT;SIVB;XRAY"
2023-11-16,"ADM,CDNS,DTE,ED,ETN,FAST,FICO,HON,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FI;FISV;KO;SIVB"
2023-11-17,"ADM,CDNS,DTE,ED,ETN,FAST,FICO,HON,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FI;FISV;KO;SIVB;XOM"
2023-11-20,"CDNS,DTE,ED,ETN,FAST,HON,MGM,MSFT,ORCL,TROW,WM,XRAY;ADM;CERN;FI;FICO;FISV;KO;SIVB;XOM"
2023-11-21,"CDNS,DTE,ED,ETN,FAST,HON,MGM,MSFT,ORCL,TROW,WM,XRAY;ADM;CERN;FI;FICO;FISV;KO;SIVB;XOM"
2023-11-22,"CDNS,DTE,ED,ETN,FAST,FICO,HON,MGM,MSFT,ORCL,TROW,WM,XRAY;ADM;CERN;FI;FISV;KO;SIVB;XOM"
2023-11-24,"CDNS,DTE,ED,ETN,FAST,FICO,HON,MGM,MSFT,ORCL,TROW,WM;ADM;CERN;FI;FISV;KO;SIVB;XOM;XRAY"
2023-11-27,"CDNS,DTE,ED,ETN,FAST,FICO,HON,MGM,ORCL,TROW,XRAY;ADM;CERN;FI;FISV;KO;MSFT;SIVB;WM;XOM"
2023-11-28,"ADM,CDNS,DTE,ED,ETN,FAST,FICO,HON,MGM,ORCL,TROW,WM,XRAY;CERN;FI;FISV;KO;MSFT;SIVB;XOM"
2023-11-29,"CDNS,ETN,FAST,FICO,ORCL,WM;ADM,KO,XRAY;DTE,ED;CERN;FI;FISV;HON;MGM;MSFT;SIVB;TROW;XOM"
2023-11-30,"ADM,DTE,ED,HON,KO,TROW,XRAY;ETN,FAST,FICO,WM;CDNS;CERN;FI;FISV;MGM;MSFT;ORCL;SIVB;XOM"
2023-12-01,"ADM,DTE,ED,ETN,FAST,FICO,HON,MGM,ORCL,TROW,WM;KO,XRAY;CDNS;CERN;FI;FISV;MSFT;SIVB;XOM"
2023-12-04,"ADM,DTE,ED,ETN,FAST,FICO,HON,KO,MGM,ORCL,TROW,WM,XOM,XRAY;CDNS,FI;CERN;FISV;MSFT;SIVB"
2023-12-05,"ADM,DTE,ED,ETN,FAST,FICO,HON,KO,MGM,ORCL,TROW,WM,XOM,XRAY;CDNS,FI;CERN;FISV;MSFT;SIVB"
